"component_id","stable_key","geometric_side_provisional","vertex_count","face_count","dominant_groups","technical_flags","semantic_name","region","material_family","deformation_type","risk_level","action","evidence","target_parent","notes"
"69","C069-V103352","RIGHT","65","95","thumb_01.R:65.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"70","C070-V105074","RIGHT","52","82","thumb_01.R:52.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"71","C071-V107569","LEFT","3","1","upper_arm.L:3.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"72","C072-V107930","LEFT","3","1","foot.L:3.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"73","C073-V107938","LEFT","1473","2813","foot.L:1167.932000|toe.L:302.235999|shin.L:2.832000","","","","","","","","","",""
"74","C074-V108810","RIGHT","24","30","thumb_01.R:24.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"75","C075-V111177","LEFT","1921","3646","chest:1504.970696|spine_02:416.026242|upper_arm.L:0.003064","","","","","","","","","",""
"76","C076-V112702","RIGHT","1328","2457","spine_02:698.182968|spine_01:522.095936|thigh.R:107.721125","","","","","","","","","",""
"77","C077-V113130","RIGHT","3144","6041","chest:2398.313161|spine_02:524.086866|upper_arm.R:182.940992|clavicle.R:38.658981","","","","","","","","","",""
"78","C078-V114374","RIGHT","1324","2512","hand.R:391.141805|index_03.R:362.137554|middle_03.R:354.466288|pinky_03.R:160.266980|ring_03.R:54.649715|thumb_02.R:1.337655","","","","","","","","","",""
"79","C079-V118856","LEFT","1056","1957","middle_03.L:367.567899|index_03.L:284.973396|hand.L:270.770234|pinky_03.L:79.107474|ring_03.L:52.148503|index_02.L:1.432493","","","","","","","","","",""
"80","C080-V119076","CENTER","1306","2396","spine_01:845.881981|spine_02:224.720625|thigh.L:128.450570|pelvis:106.946838","CROSSES_CENTER_PLANE","","","","","","","","",""
"81","C081-V119281","LEFT","210","362","thumb_01.L:157.653551|forearm.L:52.346449","","","","","","","","","",""
"82","C082-V123750","RIGHT","763","1416","thigh.R:763.000000","","","","","","","","","",""
"83","C083-V123842","LEFT","11","11","thumb_01.L:11.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"84","C084-V126227","LEFT","5","3","thumb_01.L:5.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"85","C085-V127561","RIGHT","522","925","clavicle.R:230.814835|neck:149.631319|head:141.553845","","","","","","","","","",""
"86","C086-V127699","CENTER","3697","7086","head:3583.148513|neck:113.851512","CROSSES_CENTER_PLANE","","","","","","","","",""
"87","C087-V128662","LEFT","1137","2077","hand.L:179.312240|index_01.L:178.850556|forearm.L:150.063545|middle_03.L:132.119524|index_03.L:120.463059|ring_03.L:91.866294|ring_02.L:79.322184|pinky_03.L:71.251671","","","","","","","","","",""
"88","C088-V128680","LEFT","3","1","thumb_01.L:3.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"89","C089-V131306","RIGHT","160","275","index_01.R:64.390506|thumb_01.R:62.834753|thumb_02.R:32.774744","","","","","","","","","",""
"90","C090-V133696","LEFT","3","1","middle_03.L:2.204409|index_03.L:0.795591","VERY_SMALL_COMPONENT","","","","","","","","",""
"91","C091-V133740","RIGHT","1247","2319","thumb_02.R:327.240394|index_03.R:264.577715|pinky_03.R:158.674653|ring_02.R:137.589005|ring_03.R:135.893428|hand.R:97.747556|middle_03.R:86.671561|ring_01.R:23.444375","","","","","","","","","",""
"92","C092-V140831","RIGHT","3","1","forearm.R:3.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"93","C093-V141561","LEFT","573","1034","neck:325.413070|head:247.586909","","","","","","","","","",""
"94","C094-V145565","RIGHT","490","892","neck:439.255671|head:50.744317","","","","","","","","","",""
"95","C095-V146776","LEFT","101","173","thumb_02.L:70.022331|thumb_01.L:30.977670","","","","","","","","","",""
"96","C096-V148739","LEFT","153","264","thumb_02.L:99.660033|thumb_01.L:53.339970","","","","","","","","","",""
"97","C097-V148799","RIGHT","27","30","thumb_01.R:13.671040|index_01.R:11.951177|thumb_02.R:1.377783","VERY_SMALL_COMPONENT","","","","","","","","",""
"98","C098-V148800","RIGHT","55","90","index_01.R:38.653172|thumb_01.R:16.346829","VERY_SMALL_COMPONENT","","","","","","","","",""
"99","C099-V148810","LEFT","3","1","index_01.L:3.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"100","C100-V150928","LEFT","9","8","index_01.L:9.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"101","C101-V151564","LEFT","4","2","head:4.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"102","C102-V161362","LEFT","3","1","forearm.L:3.000000","VERY_SMALL_COMPONENT","","","","","","","","",""
"103","C103-V167183","LEFT","228","393","thumb_02.L:141.373568|thumb_01.L:83.023598|forearm.L:2.870999|index_02.L:0.731836","","","","","","","","","",""
"104","C104-V174307","CENTER","2939","5604","spine_02:1743.203137|chest:1195.796861","CROSSES_CENTER_PLANE","","","","","","","","",""
"105","C105-V177904","CENTER","1735","3277","spine_02:1365.923956|chest:369.076069","CROSSES_CENTER_PLANE","","","","","","","","",""
"106","C106-V190469","RIGHT","69","111","chest:49.680002|spine_02:19.320000","VERY_SMALL_COMPONENT","","","","","","","","",""
"107","C107-V190484","LEFT","84","140","chest:60.480002|spine_02:23.520000","VERY_SMALL_COMPONENT","","","","","","","","",""
"108","C108-V192344","RIGHT","63","97","chest:45.360002|spine_02:17.640000","VERY_SMALL_COMPONENT","","","","","","","","",""
"109","C109-V192356","LEFT","78","125","chest:56.160002|spine_02:21.840000","VERY_SMALL_COMPONENT","","","","","","","","",""
