component_id,stable_key,minimum_vertex_index,maximum_vertex_index,vertex_count,edge_count,face_count,triangle_count,surface_area_local,geometric_side_provisional,local_centroid_x,local_centroid_y,local_centroid_z,local_minimum_x,local_minimum_y,local_minimum_z,local_maximum_x,local_maximum_y,local_maximum_z,local_dimension_x,local_dimension_y,local_dimension_z,world_centroid_x,world_centroid_y,world_centroid_z,world_minimum_x,world_minimum_y,world_minimum_z,world_maximum_x,world_maximum_y,world_maximum_z,world_dimension_x,world_dimension_y,world_dimension_z,weighted_vertices,unweighted_vertices,average_influences_per_vertex,maximum_influences_per_vertex,vertices_over_4_influences,non_normalized_weight_vertices,total_assigned_weight,average_assigned_weight_per_vertex,left_group_weight_sum,right_group_weight_sum,center_group_weight_sum,cross_side_weight_ratio,dominant_groups,technical_flags,semantic_name,region,material_family,deformation_type,risk_level,action,evidence,target_parent,notes,contextual_image_file,context_views,detail_visual_scale_factor,semantic_classification_status
22,C022-V028563,28563,196835,4915,14374,9452,9452,0.104222404,LEFT,0.216085146,-0.069368855,-0.905382624,0.137672484,-0.291221887,-0.999830008,0.340672523,0.127052322,-0.755195439,0.203000039,0.418274209,0.244634569,0.216085146,-0.069368855,-0.905382624,0.137672484,-0.291221887,-0.999830008,0.340672523,0.127052322,-0.755195439,0.203000039,0.418274209,0.244634569,4915,0,1.689114954,2,0,0,4915.000002301,1.000000000,4915.000002301,0.000000000,0.000000000,0.000000000,foot.L:3426.866025|shin.L:1059.840978|toe.L:428.292999,,,,,,,,,,,images/C022-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,5.857401551,PENDING
23,C023-V028676,28676,106343,4018,11731,7704,7704,0.087179835,LEFT,0.192535773,0.076828355,-0.684154809,0.090971507,-0.069415942,-0.807219505,0.332145810,0.125020623,-0.501222074,0.241174303,0.194436565,0.305997431,0.192535773,0.076828355,-0.684154809,0.090971507,-0.069415942,-0.807219505,0.332145810,0.125020623,-0.501222074,0.241174303,0.194436565,0.305997431,4018,0,1.546291687,2,0,0,4018.000000806,1.000000000,4018.000000806,0.000000000,0.000000000,0.000000000,shin.L:3392.815143|thigh.L:625.184858,,,,,,,,,,,images/C023-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,8.006603159,PENDING
24,C024-V031619,31619,197433,6043,17655,11569,11569,0.114209040,RIGHT,-0.086248727,-0.095277448,0.811081347,-0.157580465,-0.299405843,0.626161993,-0.015515242,0.119905196,0.989281595,0.142065223,0.419311039,0.363119602,-0.086248727,-0.095277448,0.811081347,-0.157580465,-0.299405843,0.626161993,-0.015515242,0.119905196,0.989281595,0.142065223,0.419311039,0.363119602,6043,0,1.122124772,2,0,0,6042.999998741,1.000000000,0.000000000,0.000000000,6042.999998741,0.000000000,head:6026.393809|neck:16.606189,,,,,,,,,,,images/C024-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,5.842917956,PENDING
25,C025-V035147,35147,35167,3,3,1,1,0.000008130,RIGHT,-0.054239233,0.111618129,0.881242851,-0.055902079,0.110849582,0.878552616,-0.051413164,0.112649307,0.882991910,0.004488915,0.001799725,0.004439294,-0.054239233,0.111618129,0.881242851,-0.055902079,0.110849582,0.878552616,-0.051413164,0.112649307,0.882991910,0.004488915,0.001799725,0.004439294,3,0,1.000000000,1,0,0,3.000000000,1.000000000,0.000000000,0.000000000,3.000000000,0.000000000,head:3.000000,VERY_SMALL_COMPONENT,,,,,,,,,,images/C025-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,545.788879520,PENDING
26,C026-V035853,35853,178683,6251,18327,12068,12068,0.143942278,CENTER,0.147384194,-0.108338791,-0.373783207,-0.005299021,-0.208628580,-0.500696182,0.336832076,0.109373651,-0.210880369,0.342131097,0.318002231,0.289815813,0.147384194,-0.108338791,-0.373783207,-0.005299021,-0.208628580,-0.500696182,0.336832076,0.109373651,-0.210880369,0.342131097,0.318002231,0.289815813,6251,0,1.706926892,3,0,0,6250.999997517,1.000000000,5336.240769938,0.000000000,914.759227580,,thigh.L:5336.240770|pelvis:910.549155|spine_01:4.210072,CROSSES_CENTER_PLANE,,,,,,,,,,images/C026-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,7.160997706,PENDING
27,C027-V035864,35864,118805,3151,9190,6036,6036,0.069861315,LEFT,0.274333755,0.035334422,-0.366055765,0.118569404,-0.097550504,-0.486802280,0.347142518,0.110094532,-0.185671195,0.228573114,0.207645036,0.301131085,0.274333755,0.035334422,-0.366055765,0.118569404,-0.097550504,-0.486802280,0.347142518,0.110094532,-0.185671195,0.228573114,0.207645036,0.301131085,3151,0,1.000000000,1,0,0,3151.000000000,1.000000000,3151.000000000,0.000000000,0.000000000,0.000000000,thigh.L:3151.000000,,,,,,,,,,,images/C027-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,8.135991685,PENDING
28,C028-V039815,39815,73515,130,339,210,210,0.002829254,RIGHT,-0.254648283,0.058538257,-0.021680939,-0.269334406,0.017263506,-0.056380086,-0.236487418,0.100284591,-0.001346268,0.032846987,0.083021086,0.055033818,-0.254648283,0.058538257,-0.021680939,-0.269334406,0.017263506,-0.056380086,-0.236487418,0.100284591,-0.001346268,0.032846987,0.083021086,0.055033818,130,0,2.000000000,2,0,0,130.000000149,1.000000001,0.000000000,0.000000000,130.000000149,0.000000000,spine_02:83.550515|spine_01:46.449485,,,,,,,,,,,images/C028-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,29.510575284,PENDING
29,C029-V039824,39824,193412,4347,12655,8302,8302,0.102739600,LEFT,0.259164513,-0.119287462,-0.145040571,0.026786305,-0.262935340,-0.342971206,0.347198516,0.100461066,0.008352427,0.320412211,0.363396406,0.351323633,0.259164513,-0.119287462,-0.145040571,0.026786305,-0.262935340,-0.342971206,0.347198516,0.100461066,0.008352427,0.320412211,0.363396406,0.351323633,4347,0,3.007821486,4,0,0,4347.000003970,1.000000001,2635.971929667,0.000000000,1711.028074304,0.000000000,thigh.L:2635.759714|spine_02:945.551331|spine_01:765.476744|index_03.L:0.212216,,,,,,,,,,,images/C029-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,6.741948898,PENDING
30,C030-V039826,39826,139236,1997,5732,3735,3735,0.042500484,RIGHT,-0.282235646,-0.019881877,0.095949481,-0.310027212,-0.129488677,-0.010104449,-0.245112106,0.095931351,0.247987702,0.064915106,0.225420028,0.258092152,-0.282235646,-0.019881877,0.095949481,-0.310027212,-0.129488677,-0.010104449,-0.245112106,0.095931351,0.247987702,0.064915106,0.225420028,0.258092152,1997,0,1.516775163,4,0,0,1997.000004255,1.000000002,0.000000000,0.770247213,1996.229757042,0.000000000,spine_02:1968.966285|chest:27.263472|upper_arm.R:0.657706|clavicle.R:0.112541,,,,,,,,,,,images/C030-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,9.492733434,PENDING
31,C031-V042107,42107,137606,1336,3847,2512,2512,0.033784543,RIGHT,-0.374752197,-0.030145270,0.538856545,-0.432573497,-0.122061864,0.470816731,-0.270627201,0.096352927,0.607010961,0.161946297,0.218414791,0.136194229,-0.374752197,-0.030145270,0.538856545,-0.432573497,-0.122061864,0.470816731,-0.270627201,0.096352927,0.607010961,0.161946297,0.218414791,0.136194229,1336,0,2.224550898,4,0,0,1336.000013595,1.000000010,0.000000000,1261.393718990,74.606294605,0.000000000,upper_arm.R:1090.302675|clavicle.R:171.091044|chest:53.719436|spine_02:20.886859,,,,,,,,,,,images/C031-context.png,FRONT|BACK|LEFT|RIGHT|DETAIL,11.217189045,PENDING
